Complaint_ID,Complaint_Text,Category,Sentiment,Priority,Resolution,Status
1324,Passenger lost luggage,Reservation,Negative,Low,Reservation department informed,Resolved
1325,Blanket not provided,Theft,Neutral,High,RPF complaint registered,Pending
1326,Washroom is dirty,Washroom Problem,Negative,Medium,Cleaning staff informed,Pending
1327,WiFi not available,Catering Issue,Neutral,Medium,Vendor contacted,Resolved
1328,Food served was stale,Food Quality,Very Negative,Low,Catering manager informed,Pending
1329,Washroom is dirty,Delay,Neutral,Medium,Delay notification sent,Resolved
1330,Washroom is dirty,Washroom Problem,Very Negative,High,Cleaning staff informed,Resolved
1331,Unauthorized person entered coach,Theft,Neutral,High,RPF complaint registered,Resolved
1332,Train delayed by 3 hours,Medical Emergency,Neutral,High,Medical team alerted,Resolved
1333,AC not working in coach B2,Noise Complaint,Neutral,High,Coach attendant informed,Resolved
1334,Washroom is dirty,Cleanliness,Neutral,Medium,Cleaning team dispatched,Resolved
1335,Washroom is dirty,Water Problem,Very Negative,Low,Vendor informed,Pending
1336,Unauthorized person entered coach,Security,Negative,High,RPF team alerted,Resolved
1337,WiFi not available,Washroom Problem,Neutral,Low,Cleaning staff informed,Pending
1338,Train delayed by 3 hours,Washroom Problem,Very Negative,Low,Cleaning staff informed,Resolved
1339,Charging point not working,Medical Emergency,Negative,Medium,Medical team alerted,Pending
1340,Medical assistance required urgently,Women Safety,Very Negative,High,RPF escort assigned,Resolved
1341,Medical assistance required urgently,WiFi Issue,Very Negative,Medium,Technical support informed,Pending
1342,AC not working in coach B2,Noise Complaint,Very Negative,Medium,Coach attendant informed,Pending
1343,Food served was stale,Theft,Negative,Medium,RPF complaint registered,Resolved
1344,Unauthorized person entered coach,Ticket Issue,Neutral,High,Refund process initiated,Resolved
1345,WiFi not available,Water Problem,Neutral,High,Vendor informed,Pending
1346,Washroom is dirty,Electrical,Very Negative,Low,Electrician assigned,Pending
1347,AC not working in coach B2,Coach Damage,Negative,High,Maintenance team assigned,Pending
1348,Unauthorized person entered coach,Luggage,Negative,Medium,Lost and found informed,Pending
1349,Passenger lost luggage,Cleanliness,Very Negative,Medium,Cleaning team dispatched,Pending
1350,Unauthorized person entered coach,Staff Behaviour,Negative,Low,Supervisor informed,Pending
1351,Train delayed by 3 hours,Catering Issue,Neutral,Low,Vendor contacted,Resolved
1352,WiFi not available,Theft,Negative,Medium,RPF complaint registered,Pending
1353,WiFi not available,WiFi Issue,Negative,Low,Technical support informed,Pending
1354,Passenger lost luggage,Electrical,Negative,High,Electrician assigned,Pending
1355,Medical assistance required urgently,Coach Damage,Neutral,High,Maintenance team assigned,Pending
1356,Washroom is dirty,Water Problem,Negative,Low,Vendor informed,Pending
1357,Passenger lost luggage,Women Safety,Neutral,Medium,RPF escort assigned,Resolved
1358,Charging point not working,Theft,Negative,Low,RPF complaint registered,Pending
1359,Food served was stale,Medical Emergency,Negative,High,Medical team alerted,Pending
1360,Passenger lost luggage,Reservation,Neutral,High,Reservation department informed,Pending
1361,Train delayed by 3 hours,Medical Emergency,Neutral,High,Medical team alerted,Pending
1362,Washroom is dirty,Theft,Neutral,Low,RPF complaint registered,Resolved
1363,WiFi not available,Coach Damage,Very Negative,Low,Maintenance team assigned,Resolved
1364,Washroom is dirty,Theft,Neutral,Medium,RPF complaint registered,Pending
1365,WiFi not available,Staff Behaviour,Neutral,Low,Supervisor informed,Resolved
1366,Blanket not provided,Reservation,Neutral,Low,Reservation department informed,Pending
1367,AC not working in coach B2,Women Safety,Very Negative,Low,RPF escort assigned,Resolved
1368,Unauthorized person entered coach,Noise Complaint,Neutral,Low,Coach attendant informed,Pending
1369,Unauthorized person entered coach,Theft,Neutral,Medium,RPF complaint registered,Resolved
1370,Medical assistance required urgently,Luggage,Negative,Medium,Lost and found informed,Pending
1371,Train delayed by 3 hours,Ticket Issue,Negative,High,Refund process initiated,Pending
1372,Washroom is dirty,Bedroll Missing,Negative,High,Housekeeping informed,Resolved
1373,Train delayed by 3 hours,AC Issue,Very Negative,Low,Technician assigned,Pending
1374,Washroom is dirty,Coach Damage,Very Negative,Low,Maintenance team assigned,Resolved
1375,WiFi not available,Noise Complaint,Very Negative,Medium,Coach attendant informed,Resolved
1376,Unauthorized person entered coach,Security,Neutral,Medium,RPF team alerted,Resolved
1377,Food served was stale,Food Quality,Neutral,High,Catering manager informed,Pending
1378,Charging point not working,Washroom Problem,Negative,High,Cleaning staff informed,Resolved
1379,Medical assistance required urgently,Washroom Problem,Neutral,Medium,Cleaning staff informed,Resolved
1380,Charging point not working,Security,Negative,Medium,RPF team alerted,Resolved
1381,Medical assistance required urgently,Noise Complaint,Neutral,Low,Coach attendant informed,Resolved
1382,AC not working in coach B2,Food Quality,Negative,Medium,Catering manager informed,Resolved
1383,AC not working in coach B2,WiFi Issue,Negative,High,Technical support informed,Pending
1384,WiFi not available,Delay,Neutral,High,Delay notification sent,Resolved
1385,Blanket not provided,Security,Very Negative,High,RPF team alerted,Resolved
1386,Medical assistance required urgently,AC Issue,Very Negative,High,Technician assigned,Resolved
1387,Passenger lost luggage,Luggage,Very Negative,Medium,Lost and found informed,Pending
1388,Train delayed by 3 hours,Staff Behaviour,Negative,Low,Supervisor informed,Pending
1389,Food served was stale,Medical Emergency,Very Negative,Medium,Medical team alerted,Resolved
1390,Unauthorized person entered coach,Washroom Problem,Neutral,Low,Cleaning staff informed,Resolved
1391,Blanket not provided,Catering Issue,Negative,High,Vendor contacted,Pending
1392,Medical assistance required urgently,Staff Behaviour,Neutral,Medium,Supervisor informed,Pending
1393,Unauthorized person entered coach,AC Issue,Very Negative,High,Technician assigned,Resolved
1394,WiFi not available,Washroom Problem,Neutral,Medium,Cleaning staff informed,Pending
1395,WiFi not available,Security,Neutral,Medium,RPF team alerted,Pending
1396,AC not working in coach B2,Reservation,Neutral,Low,Reservation department informed,Pending
1397,Charging point not working,Catering Issue,Neutral,Medium,Vendor contacted,Pending
1398,Passenger lost luggage,Ticket Issue,Negative,Medium,Refund process initiated,Resolved
1399,Unauthorized person entered coach,Theft,Negative,High,RPF complaint registered,Pending
1400,Unauthorized person entered coach,Delay,Very Negative,High,Delay notification sent,Pending
1401,Blanket not provided,Water Problem,Negative,Medium,Vendor informed,Pending
1402,AC not working in coach B2,Theft,Neutral,High,RPF complaint registered,Pending
1403,Food served was stale,Noise Complaint,Negative,High,Coach attendant informed,Resolved
1404,Washroom is dirty,Delay,Neutral,High,Delay notification sent,Resolved
1405,AC not working in coach B2,Staff Behaviour,Negative,High,Supervisor informed,Pending
1406,AC not working in coach B2,Water Problem,Very Negative,High,Vendor informed,Resolved
1407,Washroom is dirty,WiFi Issue,Very Negative,High,Technical support informed,Resolved
1408,Unauthorized person entered coach,Ticket Issue,Neutral,Low,Refund process initiated,Resolved
1409,Unauthorized person entered coach,Security,Neutral,High,RPF team alerted,Resolved
1410,Passenger lost luggage,Medical Emergency,Negative,High,Medical team alerted,Pending
1411,Charging point not working,Ticket Issue,Very Negative,High,Refund process initiated,Pending
1412,WiFi not available,Theft,Very Negative,High,RPF complaint registered,Resolved
1413,Unauthorized person entered coach,WiFi Issue,Negative,Medium,Technical support informed,Resolved
1414,Medical assistance required urgently,Security,Neutral,Medium,RPF team alerted,Resolved
1415,Train delayed by 3 hours,AC Issue,Neutral,Medium,Technician assigned,Pending
1416,Blanket not provided,Noise Complaint,Neutral,Medium,Coach attendant informed,Resolved
1417,Charging point not working,Security,Neutral,Medium,RPF team alerted,Resolved
1418,Blanket not provided,Coach Damage,Negative,High,Maintenance team assigned,Pending
1419,Medical assistance required urgently,WiFi Issue,Negative,High,Technical support informed,Resolved
1420,WiFi not available,Bedroll Missing,Negative,Low,Housekeeping informed,Pending
1421,Passenger lost luggage,Bedroll Missing,Negative,Medium,Housekeeping informed,Pending
1422,Train delayed by 3 hours,Security,Very Negative,Low,RPF team alerted,Resolved
1423,Blanket not provided,Washroom Problem,Very Negative,Medium,Cleaning staff informed,Resolved
1424,Passenger lost luggage,Food Quality,Very Negative,High,Catering manager informed,Resolved
1425,Medical assistance required urgently,Women Safety,Very Negative,Low,RPF escort assigned,Resolved
1426,Unauthorized person entered coach,Catering Issue,Very Negative,Medium,Vendor contacted,Resolved
1427,AC not working in coach B2,Ticket Issue,Negative,High,Refund process initiated,Pending
1428,AC not working in coach B2,Coach Damage,Negative,High,Maintenance team assigned,Resolved
1429,Passenger lost luggage,Water Problem,Very Negative,High,Vendor informed,Resolved
1430,Medical assistance required urgently,Delay,Negative,Medium,Delay notification sent,Resolved
1431,Unauthorized person entered coach,Electrical,Negative,High,Electrician assigned,Pending
1432,Passenger lost luggage,Coach Damage,Neutral,Low,Maintenance team assigned,Pending
1433,Passenger lost luggage,Washroom Problem,Negative,Medium,Cleaning staff informed,Pending
1434,Unauthorized person entered coach,Reservation,Neutral,Medium,Reservation department informed,Resolved
1435,Food served was stale,Noise Complaint,Negative,Medium,Coach attendant informed,Pending
1436,Train delayed by 3 hours,Coach Damage,Neutral,Medium,Maintenance team assigned,Pending
1437,Washroom is dirty,Theft,Very Negative,High,RPF complaint registered,Pending
1438,Passenger lost luggage,Noise Complaint,Neutral,Low,Coach attendant informed,Resolved
1439,Food served was stale,Delay,Neutral,Low,Delay notification sent,Pending
1440,Charging point not working,Food Quality,Very Negative,Medium,Catering manager informed,Resolved
1441,WiFi not available,Water Problem,Very Negative,Medium,Vendor informed,Resolved
1442,Blanket not provided,Staff Behaviour,Neutral,High,Supervisor informed,Resolved
1443,Food served was stale,Security,Neutral,Medium,RPF team alerted,Resolved
1444,WiFi not available,Water Problem,Negative,High,Vendor informed,Resolved
1445,Washroom is dirty,Ticket Issue,Negative,Medium,Refund process initiated,Resolved
1446,WiFi not available,Luggage,Negative,High,Lost and found informed,Resolved
1447,Passenger lost luggage,AC Issue,Very Negative,Low,Technician assigned,Pending
1448,Food served was stale,Washroom Problem,Negative,Medium,Cleaning staff informed,Pending
1449,Food served was stale,Women Safety,Very Negative,Low,RPF escort assigned,Resolved
1450,Medical assistance required urgently,Washroom Problem,Neutral,Low,Cleaning staff informed,Pending
1451,Train delayed by 3 hours,Theft,Negative,High,RPF complaint registered,Pending
1452,Food served was stale,WiFi Issue,Negative,High,Technical support informed,Pending
1453,Food served was stale,Catering Issue,Neutral,High,Vendor contacted,Pending
1454,Washroom is dirty,Bedroll Missing,Very Negative,High,Housekeeping informed,Pending
1455,Food served was stale,Reservation,Very Negative,Medium,Reservation department informed,Resolved
1456,Food served was stale,Washroom Problem,Very Negative,High,Cleaning staff informed,Resolved
1457,Train delayed by 3 hours,Security,Neutral,High,RPF team alerted,Pending
1458,Charging point not working,Water Problem,Negative,High,Vendor informed,Pending
1459,Medical assistance required urgently,Catering Issue,Neutral,Medium,Vendor contacted,Resolved
1460,Train delayed by 3 hours,Cleanliness,Neutral,Low,Cleaning team dispatched,Pending
1461,Unauthorized person entered coach,AC Issue,Negative,Medium,Technician assigned,Resolved
1462,Washroom is dirty,Luggage,Neutral,High,Lost and found informed,Pending
1463,Train delayed by 3 hours,Theft,Negative,High,RPF complaint registered,Pending
1464,WiFi not available,AC Issue,Very Negative,Low,Technician assigned,Resolved
1465,Washroom is dirty,Electrical,Neutral,Low,Electrician assigned,Resolved
1466,Blanket not provided,Coach Damage,Neutral,Low,Maintenance team assigned,Resolved
1467,Passenger lost luggage,Delay,Neutral,Medium,Delay notification sent,Resolved
1468,Train delayed by 3 hours,Theft,Very Negative,Low,RPF complaint registered,Pending
1469,AC not working in coach B2,Bedroll Missing,Neutral,Medium,Housekeeping informed,Pending
1470,Washroom is dirty,WiFi Issue,Neutral,High,Technical support informed,Resolved
1471,Unauthorized person entered coach,AC Issue,Negative,High,Technician assigned,Resolved
1472,Blanket not provided,Women Safety,Negative,Low,RPF escort assigned,Resolved
1473,Charging point not working,Food Quality,Neutral,High,Catering manager informed,Resolved
1474,Train delayed by 3 hours,Coach Damage,Negative,High,Maintenance team assigned,Pending
1475,Food served was stale,Noise Complaint,Neutral,High,Coach attendant informed,Resolved
1476,Medical assistance required urgently,Ticket Issue,Neutral,High,Refund process initiated,Pending
1477,AC not working in coach B2,Theft,Negative,Medium,RPF complaint registered,Pending
1478,Medical assistance required urgently,Food Quality,Neutral,High,Catering manager informed,Pending
1479,AC not working in coach B2,Theft,Very Negative,High,RPF complaint registered,Resolved
1480,WiFi not available,WiFi Issue,Neutral,Low,Technical support informed,Pending
1481,Unauthorized person entered coach,Staff Behaviour,Negative,Low,Supervisor informed,Pending
1482,Blanket not provided,Coach Damage,Very Negative,High,Maintenance team assigned,Resolved
1483,WiFi not available,Security,Very Negative,High,RPF team alerted,Pending
1484,Passenger lost luggage,Water Problem,Neutral,Medium,Vendor informed,Pending
1485,Charging point not working,Bedroll Missing,Neutral,High,Housekeeping informed,Pending
1486,Passenger lost luggage,Luggage,Negative,High,Lost and found informed,Resolved
1487,AC not working in coach B2,Catering Issue,Negative,Medium,Vendor contacted,Pending
1488,Passenger lost luggage,Washroom Problem,Very Negative,High,Cleaning staff informed,Pending
1489,Passenger lost luggage,Women Safety,Negative,Medium,RPF escort assigned,Pending
1490,WiFi not available,Staff Behaviour,Very Negative,Low,Supervisor informed,Pending
1491,Washroom is dirty,Electrical,Neutral,High,Electrician assigned,Resolved
1492,Medical assistance required urgently,Ticket Issue,Negative,Low,Refund process initiated,Pending
1493,WiFi not available,Women Safety,Negative,Medium,RPF escort assigned,Resolved
1494,Unauthorized person entered coach,Staff Behaviour,Neutral,Low,Supervisor informed,Pending
1495,Passenger lost luggage,Staff Behaviour,Negative,Medium,Supervisor informed,Resolved
1496,Blanket not provided,Cleanliness,Negative,Low,Cleaning team dispatched,Resolved
1497,WiFi not available,Ticket Issue,Negative,Low,Refund process initiated,Resolved
1498,WiFi not available,AC Issue,Very Negative,Low,Technician assigned,Pending
1499,Train delayed by 3 hours,Bedroll Missing,Negative,High,Housekeeping informed,Pending
1500,Washroom is dirty,Cleanliness,Very Negative,Medium,Cleaning team dispatched,Pending
1501,AC not working in coach B2,Staff Behaviour,Very Negative,Low,Supervisor informed,Pending
1502,Charging point not working,AC Issue,Negative,Medium,Technician assigned,Resolved
1503,Blanket not provided,Food Quality,Very Negative,Medium,Catering manager informed,Pending
1504,Food served was stale,Electrical,Negative,Low,Electrician assigned,Resolved
1505,Passenger lost luggage,Coach Damage,Very Negative,Medium,Maintenance team assigned,Resolved
1506,Charging point not working,Bedroll Missing,Neutral,High,Housekeeping informed,Resolved
1507,Passenger lost luggage,Washroom Problem,Very Negative,High,Cleaning staff informed,Pending
1508,Charging point not working,AC Issue,Very Negative,High,Technician assigned,Pending
1509,Washroom is dirty,Food Quality,Neutral,Medium,Catering manager informed,Pending
1510,Passenger lost luggage,AC Issue,Very Negative,Medium,Technician assigned,Pending
1511,Food served was stale,Theft,Very Negative,Low,RPF complaint registered,Resolved
1512,Charging point not working,Washroom Problem,Very Negative,Medium,Cleaning staff informed,Resolved
1513,Blanket not provided,Staff Behaviour,Very Negative,Medium,Supervisor informed,Pending
1514,Medical assistance required urgently,Cleanliness,Neutral,Medium,Cleaning team dispatched,Resolved
1515,Train delayed by 3 hours,Security,Neutral,Medium,RPF team alerted,Resolved
1516,Food served was stale,Electrical,Very Negative,Low,Electrician assigned,Pending
1517,AC not working in coach B2,Medical Emergency,Negative,Medium,Medical team alerted,Pending
1518,Charging point not working,Staff Behaviour,Negative,High,Supervisor informed,Pending
1519,Food served was stale,Staff Behaviour,Negative,High,Supervisor informed,Pending
1520,Food served was stale,Women Safety,Very Negative,Medium,RPF escort assigned,Pending
1521,Unauthorized person entered coach,Washroom Problem,Neutral,Medium,Cleaning staff informed,Resolved
1522,Blanket not provided,Ticket Issue,Neutral,Medium,Refund process initiated,Pending
1523,Washroom is dirty,Security,Negative,Medium,RPF team alerted,Pending
1524,Train delayed by 3 hours,Staff Behaviour,Negative,High,Supervisor informed,Resolved
1525,Food served was stale,Noise Complaint,Neutral,High,Coach attendant informed,Pending
1526,Charging point not working,AC Issue,Neutral,Low,Technician assigned,Pending
1527,Unauthorized person entered coach,Security,Very Negative,High,RPF team alerted,Pending
1528,Unauthorized person entered coach,Medical Emergency,Neutral,Medium,Medical team alerted,Pending
1529,WiFi not available,Washroom Problem,Neutral,Medium,Cleaning staff informed,Pending
1530,Unauthorized person entered coach,Catering Issue,Neutral,Low,Vendor contacted,Resolved
1531,WiFi not available,AC Issue,Very Negative,Medium,Technician assigned,Pending
1532,Blanket not provided,Food Quality,Negative,High,Catering manager informed,Resolved
1533,Blanket not provided,Water Problem,Neutral,Medium,Vendor informed,Resolved
1534,Washroom is dirty,Ticket Issue,Very Negative,Medium,Refund process initiated,Pending
1535,Passenger lost luggage,Luggage,Negative,Low,Lost and found informed,Resolved
1536,Food served was stale,Coach Damage,Neutral,High,Maintenance team assigned,Resolved
1537,Charging point not working,Security,Very Negative,Medium,RPF team alerted,Resolved
1538,Food served was stale,Women Safety,Neutral,Medium,RPF escort assigned,Resolved
1539,Food served was stale,Theft,Neutral,Low,RPF complaint registered,Pending
1540,Charging point not working,Electrical,Negative,Medium,Electrician assigned,Resolved
1541,WiFi not available,Catering Issue,Very Negative,Medium,Vendor contacted,Resolved
1542,Medical assistance required urgently,Reservation,Negative,Low,Reservation department informed,Resolved
1543,Train delayed by 3 hours,Staff Behaviour,Negative,Medium,Supervisor informed,Pending
1544,WiFi not available,Cleanliness,Neutral,Medium,Cleaning team dispatched,Resolved
1545,Passenger lost luggage,WiFi Issue,Neutral,Low,Technical support informed,Pending
1546,Medical assistance required urgently,Reservation,Very Negative,Medium,Reservation department informed,Pending
1547,Washroom is dirty,Catering Issue,Neutral,Medium,Vendor contacted,Resolved
1548,Charging point not working,Electrical,Very Negative,Medium,Electrician assigned,Pending
1549,Charging point not working,Catering Issue,Very Negative,High,Vendor contacted,Pending
1550,WiFi not available,Ticket Issue,Negative,Low,Refund process initiated,Pending
1551,Medical assistance required urgently,Washroom Problem,Negative,Medium,Cleaning staff informed,Pending
1552,Blanket not provided,WiFi Issue,Negative,High,Technical support informed,Resolved
1553,Medical assistance required urgently,Coach Damage,Neutral,Low,Maintenance team assigned,Pending
1554,Unauthorized person entered coach,Ticket Issue,Very Negative,High,Refund process initiated,Pending
1555,Unauthorized person entered coach,Cleanliness,Neutral,High,Cleaning team dispatched,Pending
1556,Unauthorized person entered coach,Washroom Problem,Neutral,Low,Cleaning staff informed,Pending
1557,Food served was stale,Noise Complaint,Very Negative,Low,Coach attendant informed,Pending
1558,Blanket not provided,Delay,Neutral,High,Delay notification sent,Pending
1559,Train delayed by 3 hours,Water Problem,Neutral,Medium,Vendor informed,Pending
1560,Blanket not provided,Staff Behaviour,Very Negative,High,Supervisor informed,Pending
1561,Food served was stale,Women Safety,Negative,Medium,RPF escort assigned,Resolved
1562,Unauthorized person entered coach,Washroom Problem,Very Negative,Medium,Cleaning staff informed,Pending
1563,AC not working in coach B2,AC Issue,Neutral,Low,Technician assigned,Pending
1564,Medical assistance required urgently,Reservation,Neutral,Low,Reservation department informed,Resolved
1565,Charging point not working,Electrical,Negative,Medium,Electrician assigned,Pending
1566,Medical assistance required urgently,Catering Issue,Very Negative,High,Vendor contacted,Pending
1567,Train delayed by 3 hours,Security,Neutral,Medium,RPF team alerted,Pending
1568,Food served was stale,Electrical,Negative,Medium,Electrician assigned,Resolved
1569,WiFi not available,Delay,Neutral,Medium,Delay notification sent,Resolved
1570,Medical assistance required urgently,Delay,Negative,Medium,Delay notification sent,Resolved
1571,AC not working in coach B2,Cleanliness,Neutral,Low,Cleaning team dispatched,Resolved
1572,Train delayed by 3 hours,Electrical,Neutral,Low,Electrician assigned,Resolved
1573,Washroom is dirty,Staff Behaviour,Very Negative,Low,Supervisor informed,Resolved
1574,Charging point not working,Staff Behaviour,Very Negative,Low,Supervisor informed,Resolved
1575,Medical assistance required urgently,Luggage,Very Negative,Medium,Lost and found informed,Resolved
1576,WiFi not available,Noise Complaint,Neutral,Low,Coach attendant informed,Resolved
1577,Washroom is dirty,Catering Issue,Very Negative,High,Vendor contacted,Pending
1578,Charging point not working,Luggage,Negative,High,Lost and found informed,Resolved
1579,Blanket not provided,Water Problem,Negative,High,Vendor informed,Resolved
1580,Charging point not working,Delay,Neutral,Medium,Delay notification sent,Pending
1581,Unauthorized person entered coach,Luggage,Neutral,High,Lost and found informed,Resolved
1582,Washroom is dirty,Noise Complaint,Negative,High,Coach attendant informed,Resolved
1583,Medical assistance required urgently,Reservation,Very Negative,Low,Reservation department informed,Resolved
1584,Passenger lost luggage,Security,Neutral,Medium,RPF team alerted,Resolved
1585,Unauthorized person entered coach,Reservation,Negative,Medium,Reservation department informed,Pending
1586,Food served was stale,Medical Emergency,Negative,Medium,Medical team alerted,Resolved
1587,Blanket not provided,Reservation,Neutral,High,Reservation department informed,Pending
1588,Food served was stale,Cleanliness,Neutral,High,Cleaning team dispatched,Resolved
1589,Food served was stale,Security,Negative,High,RPF team alerted,Pending
1590,Train delayed by 3 hours,Bedroll Missing,Neutral,Low,Housekeeping informed,Pending
1591,WiFi not available,Noise Complaint,Very Negative,Medium,Coach attendant informed,Pending
1592,Unauthorized person entered coach,Ticket Issue,Neutral,Medium,Refund process initiated,Resolved
1593,Washroom is dirty,Water Problem,Neutral,High,Vendor informed,Pending
1594,Charging point not working,WiFi Issue,Very Negative,High,Technical support informed,Resolved
1595,Food served was stale,WiFi Issue,Neutral,Medium,Technical support informed,Resolved
1596,Train delayed by 3 hours,Food Quality,Very Negative,High,Catering manager informed,Pending
1597,AC not working in coach B2,Catering Issue,Negative,High,Vendor contacted,Resolved
1598,Blanket not provided,Women Safety,Neutral,High,RPF escort assigned,Pending
1599,Washroom is dirty,WiFi Issue,Negative,High,Technical support informed,Pending
1600,Blanket not provided,Reservation,Neutral,Medium,Reservation department informed,Resolved
1601,Medical assistance required urgently,Food Quality,Neutral,Medium,Catering manager informed,Pending
1602,Blanket not provided,Staff Behaviour,Very Negative,Medium,Supervisor informed,Pending
1603,Charging point not working,WiFi Issue,Neutral,Medium,Technical support informed,Resolved
1604,AC not working in coach B2,Staff Behaviour,Neutral,Low,Supervisor informed,Pending
1605,AC not working in coach B2,Noise Complaint,Neutral,High,Coach attendant informed,Resolved
1606,Blanket not provided,Luggage,Negative,Medium,Lost and found informed,Pending
1607,WiFi not available,Reservation,Very Negative,Medium,Reservation department informed,Pending
1608,Charging point not working,Catering Issue,Very Negative,Low,Vendor contacted,Resolved
1609,WiFi not available,Theft,Negative,Low,RPF complaint registered,Pending
1610,AC not working in coach B2,Theft,Neutral,Low,RPF complaint registered,Pending
1611,AC not working in coach B2,Water Problem,Neutral,Low,Vendor informed,Pending
1612,Medical assistance required urgently,Theft,Negative,High,RPF complaint registered,Pending
1613,Passenger lost luggage,Women Safety,Very Negative,High,RPF escort assigned,Pending
1614,Train delayed by 3 hours,Washroom Problem,Negative,Low,Cleaning staff informed,Pending
1615,Charging point not working,Water Problem,Neutral,High,Vendor informed,Resolved
1616,Charging point not working,Security,Very Negative,High,RPF team alerted,Pending
1617,AC not working in coach B2,Food Quality,Very Negative,Low,Catering manager informed,Pending
1618,Blanket not provided,Luggage,Neutral,Low,Lost and found informed,Resolved
1619,Passenger lost luggage,Women Safety,Neutral,Low,RPF escort assigned,Resolved
1620,Blanket not provided,Catering Issue,Neutral,High,Vendor contacted,Pending
1621,Medical assistance required urgently,Theft,Negative,Medium,RPF complaint registered,Pending
1622,Passenger lost luggage,Staff Behaviour,Very Negative,Low,Supervisor informed,Pending
1623,Charging point not working,Reservation,Very Negative,High,Reservation department informed,Pending
1624,Passenger lost luggage,Noise Complaint,Neutral,Low,Coach attendant informed,Pending
1625,WiFi not available,Noise Complaint,Very Negative,Medium,Coach attendant informed,Pending
1626,Passenger lost luggage,Water Problem,Very Negative,Medium,Vendor informed,Resolved
1627,Food served was stale,Water Problem,Neutral,Medium,Vendor informed,Pending
1628,Passenger lost luggage,Security,Very Negative,Medium,RPF team alerted,Pending
1629,Food served was stale,Catering Issue,Very Negative,Low,Vendor contacted,Pending
1630,Washroom is dirty,Ticket Issue,Neutral,Medium,Refund process initiated,Pending
1631,Food served was stale,Noise Complaint,Neutral,Medium,Coach attendant informed,Pending
1632,Medical assistance required urgently,Staff Behaviour,Very Negative,Medium,Supervisor informed,Resolved
1633,Medical assistance required urgently,Bedroll Missing,Negative,High,Housekeeping informed,Pending
1634,Blanket not provided,Ticket Issue,Neutral,High,Refund process initiated,Resolved
1635,Blanket not provided,Delay,Very Negative,Low,Delay notification sent,Resolved
1636,Food served was stale,Coach Damage,Very Negative,Low,Maintenance team assigned,Resolved
1637,Unauthorized person entered coach,WiFi Issue,Neutral,High,Technical support informed,Pending
1638,WiFi not available,Washroom Problem,Negative,Low,Cleaning staff informed,Pending
1639,Passenger lost luggage,Food Quality,Very Negative,Medium,Catering manager informed,Pending
1640,Blanket not provided,Security,Very Negative,Medium,RPF team alerted,Resolved
1641,Train delayed by 3 hours,Women Safety,Neutral,High,RPF escort assigned,Resolved
1642,Blanket not provided,Coach Damage,Very Negative,High,Maintenance team assigned,Pending
1643,Blanket not provided,WiFi Issue,Very Negative,High,Technical support informed,Resolved
1644,Food served was stale,Washroom Problem,Negative,Medium,Cleaning staff informed,Pending
1645,Washroom is dirty,AC Issue,Neutral,Low,Technician assigned,Pending
1646,AC not working in coach B2,Bedroll Missing,Negative,Low,Housekeeping informed,Pending
1647,Charging point not working,Delay,Neutral,Medium,Delay notification sent,Pending
1648,AC not working in coach B2,Ticket Issue,Negative,High,Refund process initiated,Resolved
1649,Blanket not provided,Cleanliness,Negative,High,Cleaning team dispatched,Resolved
1650,Unauthorized person entered coach,Luggage,Negative,High,Lost and found informed,Pending
1651,Medical assistance required urgently,Medical Emergency,Very Negative,High,Medical team alerted,Resolved
1652,Passenger lost luggage,Theft,Neutral,High,RPF complaint registered,Resolved
1653,Food served was stale,Ticket Issue,Negative,Low,Refund process initiated,Pending
1654,Passenger lost luggage,Security,Neutral,Medium,RPF team alerted,Resolved
1655,Passenger lost luggage,Catering Issue,Neutral,Medium,Vendor contacted,Resolved
1656,Medical assistance required urgently,Water Problem,Neutral,High,Vendor informed,Resolved
1657,WiFi not available,Bedroll Missing,Very Negative,Medium,Housekeeping informed,Pending
1658,Passenger lost luggage,Luggage,Neutral,Low,Lost and found informed,Resolved
1659,Train delayed by 3 hours,Food Quality,Very Negative,Medium,Catering manager informed,Resolved
1660,Unauthorized person entered coach,Ticket Issue,Neutral,Low,Refund process initiated,Resolved
1661,Passenger lost luggage,Medical Emergency,Neutral,High,Medical team alerted,Pending
1662,WiFi not available,Cleanliness,Very Negative,Medium,Cleaning team dispatched,Resolved
1663,AC not working in coach B2,Medical Emergency,Neutral,Medium,Medical team alerted,Pending
1664,Blanket not provided,Bedroll Missing,Negative,Low,Housekeeping informed,Resolved
1665,WiFi not available,Reservation,Negative,High,Reservation department informed,Pending
1666,Passenger lost luggage,Theft,Neutral,Medium,RPF complaint registered,Pending
1667,Food served was stale,Ticket Issue,Negative,High,Refund process initiated,Resolved
1668,Medical assistance required urgently,Theft,Very Negative,Low,RPF complaint registered,Resolved
1669,WiFi not available,Ticket Issue,Neutral,High,Refund process initiated,Resolved
1670,Food served was stale,AC Issue,Neutral,Low,Technician assigned,Resolved
1671,Train delayed by 3 hours,Water Problem,Very Negative,Medium,Vendor informed,Resolved
1672,Washroom is dirty,Women Safety,Very Negative,Low,RPF escort assigned,Pending
1673,WiFi not available,Noise Complaint,Very Negative,Medium,Coach attendant informed,Resolved
1674,Washroom is dirty,Bedroll Missing,Neutral,High,Housekeeping informed,Pending
1675,Charging point not working,WiFi Issue,Very Negative,Medium,Technical support informed,Pending
1676,AC not working in coach B2,Washroom Problem,Very Negative,Medium,Cleaning staff informed,Resolved
